Buénos-Ayres,place,0.6666666666666666
Haussmann,character,1.0
Dèmètèr,character,0.6909090909090909
Marengo,character,0.5419161676646707
Fontaine,character,0.023613814983055738
Finot,character,0.004290982232651693
JeanneDubuisson,character,1.0
Saint-Louis,place,0.5459770114942529
Albert,character,0.7015437392795884
Ingouville,place,1.0
Bérangère,other,0.5
BertheMason,character,0.8333333333333334
MJudkin,character,1.0
Sainte-Anne,place,0.5533980582524272
RochersRouges[1,place,1.0
Blanche-Lune,other,1.0
Fauconnier,character,0.7586206896551724
JeanValjean,character,1.0
Tarass,place,0.11172413793103449
Lynn,character,0.7165354330708661
Alard,character,0.010205099225476182
Qu,character,0.6071428571428571
Golesko,character,1.0
Piquette,place,0.5
Ogden,place,0.6526315789473685
Dniepr,place,1.0
Lucy,character,0.5502645502645502
Colombier-Rouge,character,1.0
Olivier,concept,1.0
Brusco,character,1.0
MadameSwann,character,1.0
Jacques,character,0.05497242483543854
Beauté,place,0.013898788310762652
Alexandros,character,1.0
Bisbee,character,0.5789473684210527
Wang,character,0.5735294117647058
Possagno,place,1.0
Hermite,character,0.6339869281045751
Sofia,place,1.0
Bourbons,place,0.5637393767705382
Caprone,character,0.010416666666666666
Sanglié,character,0.6222222222222222
Velu,place,1.0
Famille,other,1.0
Noirmont,place,1.0
MBinet,other,1.0
Kiew,character,0.020161290322580645
Bonnemort,place,1.0
Union,character,0.5975609756097561
Noé,character,0.006278798926527926
MANTOUE,place,1.0
Prussien,place,0.6363636363636364
Aigyptos,character,0.6214689265536724
Hippolokhos,concept,1.0
Marcelle,character,0.7192982456140351
Orbigny,character,0.008882121558177896
MonsieurDarzac,character,1.0
Monte-Carlo,place,1.0
Abdur,character,1.0
Samson,concept,1.0
Anne,character,0.6303571428571428
Marcello,character,0.6813186813186813
Souvarine,character,1.0
Anna,character,0.5425531914893617
Sam-Yep,place,1.0
EtRouletabille,character,1.0
Christophe,character,0.5308641975308642
Noblesse,other,1.0
Brand,character,0.04126984126984126
Fred,character,0.024113475177304965
Lithuanie,place,1.0
Artagnan,place,1.0
Souveraine,character,0.008215962441314555
Octave,character,0.6056338028169014
MLoyd,character,1.0
Hèphaistos,other,0.6666666666666666
Doncières,place,1.0
Nantes,place,1.0
Anténor,character,0.03205128205128205
Musset,character,0.7619047619047619
Delord,character,1.0
Élysée,character,0.009234178773701057
